Rack,Src.Barcode,Src.List Name,Dest.Barcode,Dest.List Name,,,
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
,,,,,,,
Barcode ID, Rack, Source, Rack, Destination, Volume, Tool, Name
,1,A1,2,A1,310,TS_1000,
,1,A1,1,A1,65.47,TS_300,
,1,A3,2,A3,310,TS_1000,
,1,A3,1,A3,71.25,TS_300,
,1,B1,2,B1,310,TS_1000,
,1,B1,1,B1,83.75,TS_300,
,1,B2,2,B2,310,TS_1000,
,1,B2,1,B2,80.62,TS_300,
,1,B3,1,B3,67.03,TS_300,
,1,B3,2,B3,310,TS_1000,
,1,C1,1,C1,66.88,TS_300,
,1,C1,2,C1,310,TS_1000,
,1,C2,2,C2,310,TS_1000,
,1,C2,1,C2,80.62,TS_300,
,1,C3,2,C3,310,TS_1000,
,1,C3,1,C3,71.25,TS_300,
,1,D1,1,D1,83.75,TS_300,
,1,D1,2,D1,310,TS_1000,
,1,D2,2,D2,310,TS_1000,
,1,D2,1,D2,80.62,TS_300,
,1,D3,2,D3,310,TS_1000,
,1,D3,1,D3,60.62,TS_300,
,1,E1,1,E1,26.75,TS_50,
,1,E2,1,E2,77.5,TS_300,
,1,E2,2,E2,310,TS_1000,
,1,E3,2,E3,310,TS_1000,
,1,E3,1,E3,66.09,TS_300,
,1,F1,2,F1,150,TS_300,
,1,F1,1,F1,61.56,TS_300,
,1,F2,2,F2,150,TS_300,
,1,F2,1,F2,43.75,TS_50,
,1,F3,1,F3,77.5,TS_300,
,1,F3,2,F3,310,TS_1000,
,1,G1,1,G1,77.5,TS_300,
,1,G1,2,G1,310,TS_1000,
,1,G2,1,G2,88.75,TS_300,
,1,G2,2,G2,70,TS_300,
,1,G3,2,G3,310,TS_1000,
,1,G3,1,G3,72.81,TS_300,
,1,H1,2,H1,310,TS_1000,
,1,H1,1,H1,83.75,TS_300,
,1,H2,1,H2,75.94,TS_300,
,1,H2,2,H2,310,TS_1000,
