Rack,Src.Barcode,Src.List Name,Dest.Barcode,Dest.List Name,,,
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
,,,,,,,
Barcode ID, Rack, Source, Rack, Destination, Volume, Tool, Name
,1,G2,1,G2,10,TS_50,
,1,F2,1,F2,10,TS_50,
,1,F1,1,F1,10,TS_50,
,1,D3,1,D3,10,TS_50,
,1,A1,1,A1,10,TS_50,
,1,E3,1,E3,10,TS_50,
,1,C1,1,C1,10,TS_50,
,1,B3,1,B3,10,TS_50,
,1,A3,1,A3,10,TS_50,
,1,C3,1,C3,10,TS_50,
,1,G3,1,G3,10,TS_50,
,1,H2,1,H2,10,TS_50,
,1,G1,1,G1,10,TS_50,
,1,E2,1,E2,10,TS_50,
,1,F3,1,F3,10,TS_50,
,1,B2,1,B2,10,TS_50,
,1,C2,1,C2,10,TS_50,
,1,D2,1,D2,10,TS_50,
,1,B1,1,B1,10,TS_50,
,1,D1,1,D1,10,TS_50,
,1,H1,1,H1,10,TS_50,
,1,A2,2,A2,10,TS_50,
,3,F1,2,F1,10,TS_50,
,3,F2,2,F2,10,TS_50,
,3,A1,2,A1,10,TS_50,
,3,B1,2,B1,10,TS_50,
,3,C1,2,C1,10,TS_50,
,3,D1,2,D1,10,TS_50,
,3,G1,2,G1,10,TS_50,
,3,H1,2,H1,10,TS_50,
,3,B2,2,B2,10,TS_50,
,3,C2,2,C2,10,TS_50,
,3,D2,2,D2,10,TS_50,
,3,E2,2,E2,10,TS_50,
,3,H2,2,H2,10,TS_50,
,3,A3,2,A3,10,TS_50,
,3,B3,2,B3,10,TS_50,
,3,C3,2,C3,10,TS_50,
,3,D3,2,D3,
